,Descrip,Energy_kcal,Protein_g,Saturated_fats_g,Fat_g,Carb_g,Fiber_g,Sugar_g,Calcium_mg,Iron_mg,Magnesium_mg,Phosphorus_mg,Potassium_mg,Sodium_mg,Zinc_mg,Copper_mcg,Manganese_mg,Selenium_mcg,VitC_mg,Thiamin_mg,Riboflavin_mg,Niacin_mg,VitB6_mg,Folate_mcg,VitB12_mcg,VitA_mcg,VitE_mg,VitD2_mcg
35,cheese ricotta whole milk,174.0,11.26,8.295,12.98,3.04,0.0,0.27,207.0,0.38,11.0,158.0,105.0,84.0,1.16,0.021,0.006,14.5,0.0,0.013,0.195,0.104,0.043,12.0,0.34,120.0,0.11,0.2
36,cheese ricotta part skim milk,138.0,11.39,4.927,7.91,5.14,0.0,0.31,272.0,0.44,15.0,183.0,125.0,99.0,1.34,0.034,0.01,16.7,0.0,0.021,0.185,0.078,0.02,13.0,0.29,107.0,0.07,0.1
48,cream fluid half and half,123.0,3.13,7.032,10.39,4.73,0.0,4.13,107.0,0.05,10.0,95.0,132.0,61.0,0.39,0.009,0.005,3.2,0.9,0.03,0.1939999999999999,0.109,0.05,3.0,0.19,97.0,0.25,0.0
49,cream fluid lt (coffee crm or table crm),191.0,2.96,10.176,19.1,2.82,0.0,3.67,91.0,0.05,9.0,92.0,136.0,72.0,0.32,0.012,0.005,4.6,0.8,0.023,0.19,0.09,0.044,2.0,0.14,181.0,0.12,1.1
50,cream fluid lt whipping,292.0,2.17,19.337,30.91,2.96,0.0,2.96,69.0,0.03,7.0,61.0,97.0,34.0,0.25,0.0069999999999999,0.001,0.5,0.6,0.024,0.125,0.042,0.0279999999999999,4.0,0.2,279.0,0.88,0.6
51,cream fluid hvy whipping,340.0,2.84,23.032,36.08,2.74,0.0,2.92,66.0,0.1,7.0,58.0,95.0,27.0,0.24,0.011,0.006,3.0,0.6,0.02,0.188,0.064,0.035,4.0,0.16,411.0,0.92,1.6
52,cream whipped crm topping pressurized,257.0,3.2,13.831,22.22,12.49,0.0,8.0,101.0,0.05,11.0,89.0,147.0,8.0,0.37,0.01,0.001,1.4,0.0,0.037,0.065,0.07,0.0409999999999999,3.0,0.29,188.0,0.64,0.4
53,cream sour red fat cultured,135.0,2.94,7.47,12.0,4.26,0.0,0.16,104.0,0.07,10.0,95.0,129.0,89.0,0.5,0.016,0.003,2.1,0.9,0.035,0.149,0.067,0.016,11.0,0.3,102.0,0.34,0.2
54,cream sour cultured,198.0,2.44,10.14,19.35,4.63,0.0,3.41,101.0,0.07,10.0,76.0,125.0,31.0,0.33,0.018,0.015,3.7,0.9,0.02,0.168,0.093,0.0409999999999999,6.0,0.21,124.0,0.38,0.0
57,milk filled fluid wblend of hydr veg oils,63.0,3.33,0.768,3.46,4.74,0.0,0.0,128.0,0.05,13.0,97.0,139.0,57.0,0.36,0.01,0.002,2.0,0.9,0.03,0.123,0.087,0.04,5.0,0.34,2.0,0.0,0.0
58,milk filled fluid wlauric acid oil,63.0,3.33,3.1010000000000004,3.4,4.74,0.0,4.74,128.0,0.05,13.0,97.0,139.0,57.0,0.36,0.01,0.002,2.0,0.9,0.03,0.123,0.087,0.04,5.0,0.34,2.0,0.13,0.0
65,dessert topping pressurized,264.0,0.98,18.912,22.3,16.07,0.0,16.07,5.0,0.02,1.0,18.0,19.0,62.0,0.01,0.024,0.045,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.85,0.0
66,dessert topping semi solid frz,318.0,1.25,21.783,25.31,23.05,0.0,23.05,6.0,0.12,2.0,8.0,18.0,25.0,0.03,0.03,0.0579999999999999,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.96,0.0
68,milk substitutes fluid wlauric acid oil,61.0,1.75,3.037,3.41,6.16,0.0,0.0,33.0,0.39,6.0,74.0,114.0,78.0,1.18,0.051,0.0969999999999999,1.9,0.0,0.012,0.088,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,milk whl 325 milkfat w added vitamin d,61.0,3.15,1.865,3.25,4.8,0.0,5.05,113.0,0.03,10.0,84.0,132.0,43.0,0.37,0.025,0.004,3.7,0.0,0.046,0.1689999999999999,0.089,0.036,5.0,0.45,46.0,0.07,1.3
71,milk red fat fluid 2 milkfat w added vit a  vitamin d,50.0,3.3,1.257,1.98,4.8,0.0,5.06,120.0,0.02,11.0,92.0,140.0,47.0,0.48,0.006,0.0139999999999999,2.5,0.2,0.039,0.185,0.092,0.038,5.0,0.53,55.0,0.03,1.2
95,milk human mature fluid,70.0,1.03,2.009,4.38,6.89,0.0,6.89,32.0,0.03,3.0,14.0,51.0,17.0,0.17,0.052,0.026,1.8,5.0,0.0139999999999999,0.036,0.177,0.011,5.0,0.05,61.0,0.08,0.1
97,milk sheep fluid,108.0,5.98,4.603,7.0,5.36,0.0,0.0,193.0,0.1,18.0,158.0,137.0,44.0,0.54,0.046,0.018,1.7,4.2,0.065,0.355,0.417,0.06,7.0,0.71,44.0,0.0,0.0
100,whey acid fluid,24.0,0.76,0.057,0.09,5.12,0.0,5.12,103.0,0.08,10.0,78.0,143.0,48.0,0.43,0.003,0.002,1.8,0.1,0.042,0.14,0.079,0.042,2.0,0.18,2.0,0.0,0.0
113,egg yolk raw frsh,322.0,15.86,9.551,26.54,3.59,0.0,0.56,129.0,2.73,5.0,390.0,109.0,48.0,2.3,0.077,0.055,56.0,0.0,0.176,0.528,0.024,0.35,146.0,1.95,381.0,2.58,5.4
114,egg yolk raw frz past,296.0,15.53,8.615,25.6,0.81,0.0,0.16,134.0,4.55,11.0,420.0,121.0,67.0,3.17,0.0,0.078,56.4,0.0,0.223,0.563,0.031,0.412,151.0,1.9,419.0,2.24,6.0
115,egg yolk raw frz sugared past,307.0,13.87,7.11,22.82,10.95,0.0,10.3,124.0,3.7,10.0,404.0,105.0,70.0,3.06,0.012,0.08,53.5,0.0,0.14,0.523,0.037,0.3979999999999999,174.0,1.64,316.0,2.25,3.1
117,egg whl ckd hard-boiled,155.0,12.58,3.267,10.61,1.12,0.0,1.12,50.0,1.19,10.0,172.0,126.0,124.0,1.05,0.013,0.026,30.8,0.0,0.066,0.513,0.064,0.121,44.0,1.11,149.0,1.03,2.2
148,cheese low-sodium cheddar or colby,398.0,24.35,20.768,32.62,1.91,0.0,0.49,703.0,0.72,27.0,484.0,112.0,21.0,3.09,0.036,0.011,14.5,0.0,0.021,0.375,0.086,0.076,18.0,0.83,264.0,0.28,0.6
149,egg whl raw frz past,147.0,12.33,3.382,9.95,1.01,0.0,0.25,62.0,1.74,9.0,193.0,135.0,128.0,1.32,0.053,0.032,37.2,0.0,0.067,0.523,0.103,0.188,87.0,1.0,171.0,0.72,2.6
152,milk red fat fluid 2 milkfat wo added vit a  vit d,50.0,3.3,1.257,1.98,4.8,0.0,5.06,120.0,0.02,11.0,92.0,140.0,47.0,0.48,0.006,0.0139999999999999,2.5,0.2,0.039,0.185,0.092,0.038,5.0,0.53,28.0,0.03,0.0
170,reddi wip fat free whipped topping,149.0,3.0,2.869,5.0,25.0,0.4,16.0,108.0,0.03,8.0,68.0,108.0,72.0,0.31,0.019,0.0,3.0,0.0,0.148,0.619,0.364,0.123,17.0,1.48,49.0,0.09,0.0
171,milk choc fluid comm red fat w added ca,78.0,2.99,1.177,1.9,12.13,0.7,9.55,194.0,0.24,14.0,76.0,123.0,66.0,0.39,0.075,0.062,3.4,0.0,0.045,0.565,0.1639999999999999,0.024,2.0,0.33,64.0,0.04,0.0
174,cream sub flav liq,251.0,0.69,2.635,13.5,35.07,1.1,33.04,6.0,0.59,19.0,28.0,96.0,67.0,0.25,0.142,0.142,0.7,0.0,0.004,0.024,0.091,0.004,1.0,0.0,0.0,1.58,0.0
175,cream sub flav pdr,482.0,0.68,19.446,21.47,75.42,1.2,58.01,5.0,0.63,17.0,28.0,90.0,123.0,0.23,0.135,0.14,1.3,0.0,0.004,0.027,0.084,0.004,1.0,0.0,0.0,0.41,0.0
179,milk whl 325 milkfat wo added vit a  vitamin d,61.0,3.15,1.865,3.27,4.78,0.0,5.05,113.0,0.03,10.0,84.0,132.0,43.0,0.37,0.025,0.004,3.7,0.0,0.046,0.1689999999999999,0.089,0.036,5.0,0.45,46.0,0.07,0.1
197,milk bttrmlk fluid whl,62.0,3.21,1.899,3.31,4.88,0.0,4.88,115.0,0.03,10.0,85.0,135.0,105.0,0.38,0.025,0.004,3.7,0.0,0.047,0.172,0.09,0.036,5.0,0.46,47.0,0.07,1.3
202,ice crm sndwch,237.0,4.29,2.317,8.57,37.14,0.0,18.57,86.0,0.26,29.0,72.0,115.0,129.0,0.6,0.254,0.381,3.1,0.0,0.111,0.146,1.5659999999999998,0.0279999999999999,6.0,0.05,86.0,0.4,0.0
215,yogurt greek pln nonfat,59.0,10.19,0.1169999999999999,0.39,3.6,0.0,3.24,110.0,0.07,11.0,135.0,141.0,36.0,0.52,0.017,0.009,9.7,0.0,0.023,0.278,0.208,0.063,7.0,0.75,1.0,0.01,0.0
220,ice crm bar stk or nugget w crunch coating,358.0,2.11,17.895,25.26,37.12,1.1,21.05,63.0,0.0,11.0,57.0,71.0,84.0,0.32,0.031,0.0,4.0,0.0,0.043,0.069,0.5479999999999999,0.106,3.0,0.09,35.0,2.25,0.1
226,yogurt greek nonfat vanilla chobani,71.0,9.07,0.178,0.22,8.09,0.3,7.61,106.0,0.05,11.0,126.0,130.0,36.0,0.49,0.019,0.008,10.6,0.0,0.0279999999999999,0.233,0.217,0.053,0.0,0.7,0.0,0.0,0.0
227,yogurt greek strawberry dannon oikos,106.0,8.25,1.832,2.92,11.67,1.0,11.0,86.0,0.07,10.0,110.0,131.0,34.0,0.39,0.018,0.034,9.5,0.0,0.036,0.2269999999999999,0.21,0.05,0.0,0.56,1.0,0.0,0.0
228,yogurt greek nonfat vanilla dannon oikos,85.0,8.12,0.09,0.14,12.72,0.5,11.4,89.0,0.04,10.0,112.0,115.0,32.0,0.4,0.017,0.009,8.2,0.0,0.033,0.26,0.187,0.047,0.0,0.66,0.0,0.0,0.9
229,yogurt greek nonfat strawberry dannon oikos,84.0,8.03,0.11,0.22,12.53,0.4,11.63,94.0,0.06,11.0,114.0,145.0,33.0,0.45,0.017,0.0289999999999999,8.9,0.2,0.033,0.217,0.22,0.051,20.0,0.59,0.0,0.0,1.0
230,yogurt greek nonfat strawberry chobani,80.0,8.03,0.103,0.12,11.62,0.7,10.86,99.0,0.12,10.0,112.0,124.0,33.0,0.44,0.019,0.033,9.5,0.3,0.031,0.28,0.213,0.05,0.0,0.45,0.0,0.0,0.0
231,yogurt greek strawberry lowfat,103.0,8.17,1.599,2.57,11.89,1.0,11.23,88.0,0.07,10.0,109.0,129.0,33.0,0.41,0.019,0.036,9.6,0.7,0.037,0.235,0.205,0.049,9.0,0.5,31.0,0.02,0.0
232,yogurt greek strawberry nonfat,82.0,8.05,0.105,0.15,12.07,0.6,11.27,97.0,0.09,10.0,113.0,132.0,33.0,0.45,0.019,0.033,9.4,0.3,0.037,0.253,0.213,0.05,20.0,0.49,0.0,0.02,1.0
233,yogurt greek vanilla nonfat,78.0,8.64,0.133,0.18,10.37,0.5,9.54,99.0,0.04,10.0,119.0,123.0,34.0,0.46,0.018,0.008,9.7,0.0,0.042,0.24,0.201,0.05,11.0,0.64,0.0,0.02,0.9
234,yogurt greek pln lowfat,73.0,9.95,1.23,1.92,3.94,0.0,3.56,115.0,0.04,11.0,137.0,141.0,34.0,0.6,0.021,0.0069999999999999,12.4,0.8,0.044,0.233,0.1969999999999999,0.055,12.0,0.52,90.0,0.04,0.0
239,yogurt greek pln whl milk,97.0,9.0,2.395,5.0,3.98,0.0,4.0,100.0,0.0,11.0,135.0,141.0,35.0,0.52,0.017,0.009,9.7,0.0,0.023,0.278,0.208,0.063,5.0,0.75,2.0,0.01,0.0
240,yogurt greek fruit whl milk,106.0,7.33,1.599,3.0,12.29,0.0,12.0,100.0,0.0,10.0,109.0,113.0,37.0,0.41,0.019,0.036,9.6,0.0,0.046,0.235,0.205,0.049,5.0,0.5,46.0,0.07,0.0
241,yogurt vanilla non-fat,78.0,2.94,0.0,0.0,17.04,0.0,5.88,118.0,0.0,16.0,88.0,141.0,47.0,0.83,0.013,0.004,4.9,0.0,0.042,0.2,0.107,0.045,11.0,0.53,61.0,0.01,0.9
242,yogurt greek vanilla lowfat,95.0,8.64,1.465,2.5,9.54,0.0,9.54,100.0,0.04,10.0,119.0,123.0,40.0,0.46,0.018,0.008,9.7,0.0,0.038,0.24,0.201,0.05,9.0,0.64,110.0,0.02,0.9
243,yogurt frz flavors other than choc lowfat,139.0,8.0,1.509,2.5,21.0,0.0,21.0,200.0,0.0,7.0,62.0,108.0,45.0,0.19,0.006,0.0,1.3,0.0,0.0279999999999999,0.125,0.049,0.0279999999999999,3.0,0.05,34.0,0.06,0.0
247,cream half  half lowfat,72.0,3.33,3.276,5.0,3.33,0.0,3.33,133.0,0.0,10.0,95.0,132.0,50.0,0.39,0.009,0.0,3.2,0.0,0.03,0.1939999999999999,0.109,0.05,3.0,0.19,47.0,0.12,0.0
281,pepper white,296.0,10.4,0.626,2.12,68.61,26.2,0.0,265.0,14.31,90.0,176.0,73.0,5.0,1.13,0.91,4.3,3.1,21.0,0.022,0.126,0.212,0.1,10.0,0.0,0.0,0.0,0.0
296,vinegar cider,21.0,0.0,0.0,0.0,0.93,0.0,0.4,7.0,0.2,5.0,8.0,73.0,5.0,0.04,0.008,0.249,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
